articolo_id,slug,status,chars_it,chars_en,error_msg,timestamp
0034df2e-363b-494d-9db3-943d35192da0,"degrowth-a-book-review",ok,59,61,"",2026-05-07T21:44:58.415Z
0031a4c4-1bb1-4a61-9664-cf8975e9255e,"bologna-to-rome-pedaling-possibilities-in-the-rainbow-communitys-tandem-journey",ok,86,94,"",2026-05-07T21:44:58.413Z
00532847-08c4-40de-831b-4ea84b25f875,"real-connection",ok,28,34,"",2026-05-07T21:45:00.619Z
00596edb-69bb-4af7-bc32-23048cbb1b89,"22-mini-games-to-play-together",ok,71,69,"",2026-05-07T21:45:00.635Z
005e63bf-90bb-4efa-a721-58773355d8e8,"pinocchio-on-stage-theater-that-brings-everyone-together",ok,79,75,"",2026-05-07T21:45:02.587Z
00652293-1e1c-465b-9c28-f972705727a6,"as-if-it-were-the-most-natural-thing-in-the-world",ok,99,112,"",2026-05-07T21:45:02.727Z
0118178b-c37d-4f6e-b7b9-c5541b8c65e5,"raising-an-autistic-child-at-home-an-act-of-love",ok,50,51,"",2026-05-07T21:45:04.672Z
00c5db78-03cd-4aa2-be34-622f9c72460d,"when-i-becomes-we",ok,95,88,"",2026-05-07T21:45:04.609Z
0119c70b-04c4-4745-846b-6c99e9c723d2,"questions-and-answers-about-your-childs-future",ok,35,36,"",2026-05-07T21:45:06.760Z
0141f850-47b9-4dcd-996e-b46650d132a4,"a-creative-workshop-in-pantigliate",ok,99,100,"",2026-05-07T21:45:07.098Z
0144e423-fe2c-44d8-a184-5c9434fe1a5b,"gospel-imagination-and-intelligence",ok,35,39,"",2026-05-07T21:45:08.631Z
01556dc0-4ddd-413f-95e4-5240b5feb8e4,"a-prophecy",ok,43,49,"",2026-05-07T21:45:10.168Z
019dbdf9-2f50-471b-8b9b-fbbb9cdb6123,"the-centenarians-still-unfinished-work",ok,39,44,"",2026-05-07T21:45:10.829Z
025a22cd-f3dc-4348-a59d-1c8ff8a01801,"faith-and-light-in-armenia-and-iran",ok,36,37,"",2026-05-07T21:45:12.794Z
0210ac82-38b7-4bca-9b7c-d630a6942bfb,"giannis-work",ok,57,65,"",2026-05-07T21:45:12.654Z
025def1c-62fe-4f49-9d7b-46abc4ac26d9,"elena-and-the-mystery",ok,44,53,"",2026-05-07T21:45:14.663Z
02600e85-dde1-4a3e-b691-de6817eda737,"living-longer-with-disability",ok,28,34,"",2026-05-07T21:45:15.288Z
02a43467-5aba-4f43-a046-21c1cc08941e,"faith-and-light-1975-annual-report",ok,61,52,"",2026-05-07T21:45:16.555Z
02aeac05-4b6f-43f4-81d5-0fa671d28118,"epilepsy-first-aid-guidelines",ok,28,34,"",2026-05-07T21:45:17.247Z
02aeceb5-dba5-463e-8162-9e709878b611,"the-pedagogy-of-innocent-suffering-a-review",ok,39,41,"",2026-05-07T21:45:18.678Z
02b84f72-6737-4604-b623-8803e5c8d13b,"summer-together-summer-newsletter-no-21",ok,57,65,"",2026-05-07T21:45:19.248Z
