job_id,it_id,it_slug,en_id,en_slug,source_hash,status,error,input_tokens,output_tokens,cost_usd,timestamp
retranslate-20260419-v6,022ab78d-54b0-4dc6-8171-7c1e142c9a02,un-antidoto-alla-disperazione,5e0b9c7b-1967-475c-a6e9-f38b19eefd2a,an-antidote-to-despair,63716e8ce530a6ce,ok,,2728,575,0.004482,2026-04-18T23:28:08.172821
retranslate-20260419-v6,022c182e-41bb-411f-83cc-40e25bd3b246,fausta,e7af2107-4d88-44dc-a724-e65c25f63f56,fausta-022c,0a1d3572c4dd5b3c,ok,,3263,900,0.00621,2026-04-18T23:28:08.174934
retranslate-20260419-v6,0237d4e3-92da-4562-a09c-7a60ed4ed133,la-stanza-dellorso-e-dellape-recensione,82c20c23-3460-4d9e-b7e8-4d34cd09fac2,the-room-of-the-bear-and-the-bee-a-review,d8af5fb5b8c79dd3,ok,,2976,717,0.005249,2026-04-18T23:28:14.056726
retranslate-20260419-v6,024197d3-b6bc-4155-932a-6e767a1a0261,alto-come-un-vaso-di-gerani-recensione,75e035f0-aa87-4d9c-acf0-d7ea31f1a1e5,as-tall-as-a-geranium-pot-a-review,cccd5887f4059be3,ok,,2350,261,0.002924,2026-04-18T23:28:18.713999
retranslate-20260419-v6,025ac8ca-fe22-4bd5-8e1a-12ce8a178d72,lettera-ai-giovani,b599c991-ef6a-4842-85d6-b38d3222fcee,a-letter-to-young-people,6fa7de29d1906fc1,ok,,2741,511,0.004237,2026-04-18T23:28:20.126248
retranslate-20260419-v6,0280a50b-f230-4543-9a9c-0136561bd6e7,autocertificazione-non-basta,f6f33241-22e9-4ff5-a9ad-fab94f97c661,a-signature-isnt-enough,6e88aaa98deb2669,ok,,3163,718,0.005402,2026-04-18T23:28:21.568203
retranslate-20260419-v6,029cc311-db14-4c56-8e1b-50c73a79d6f6,il-mio-piede-sinistro-il-film,601799dd-22fb-42a5-b15a-a9706a30a728,my-left-foot,e6544eee1aadfaff,ok,,2908,694,0.005102,2026-04-18T23:28:25.068280
retranslate-20260419-v6,02ab40b7-a34a-4203-9d62-299120fc9f4d,dalle-un-bacio,5e88c56b-534e-497b-8e11-9e4ce196b3d3,give-her-a-kiss,0a5aee178b689f83,ok,,2815,540,0.004412,2026-04-18T23:28:29.793902
retranslate-20260419-v6,02b43b29-568f-486f-aa7a-a0b720f1f00c,antonio-nicaso-mondadori,6a7c33ed-3c60-4558-a22a-4ace1fe68cbb,the-mafia-explained-to-young-peoplea-review,3ead7a44ab5d8140,ok,,2519,359,0.003451,2026-04-18T23:28:35.257750
retranslate-20260419-v6,02b4030d-9b84-4a5c-af27-309cea2a9671,special-olympics-dove-tutto-e-diverso-da-tutto,0538ceeb-295c-4356-9cbf-79815c1edf78,special-olympics-in-sibari-where-everything-is-different-from-everything,9a351b3f428b5c89,ok,,4052,1170,0.007922,2026-04-18T23:28:32.972559
