id_en,slug_en,data_en_attuale,id_it,slug_it,data_it_nuova,azione
0031a4c4-1bb1-4a61-9664-cf8975e9255e,bologna-to-rome-pedaling-possibilities-in-the-rainbow-communitys-tandem-journey,2023-01-18T11:40:00,38f5b66a-e4d2-422e-b371-a06529ed1622,arche-bologna-tandem,2023-01-18T11:40:00,SKIP
0034df2e-363b-494d-9db3-943d35192da0,degrowth-a-book-review,2006-09-27T00:00:00,7d80dfa5-5ef5-49fe-9df4-ff511c51488e,obiettivo-decrescita-recensione,2006-09-27T14:33:50,UPDATE
00354e8a-eb98-47a7-9c6d-3f80bf2b3e1d,groping-through-the-dark,2020-09-02T00:00:00,fad4fa17-256a-4dca-a1f5-cf3edc4dbc39,brancolando-nella-solitudine,2020-09-02T15:26:07,UPDATE
00532847-08c4-40de-831b-4ea84b25f875,real-connection,2017-09-06T00:00:00,96dba73e-ee2b-4629-ad23-f2e2ccb229dd,connessi-per-davvero,2017-09-06T16:28:44,UPDATE
00584bb4-7732-4431-ac28-4a70d9d7f1f9,love-and-loneliness-the-price-of-independence,2003-06-23T00:00:00,3332a0f1-53a1-453a-80cf-4c2abd95271f,amore-e-disabilita-una-scelta-difficile,2003-06-23T16:49:03,UPDATE
00596edb-69bb-4af7-bc32-23048cbb1b89,22-mini-games-to-play-together,1994-06-18T00:00:00,70ca666b-b667-4fd8-a7ad-96e24a30f7fd,22-mini-giochi-da-fare-insieme,1994-06-18T15:27:52,UPDATE
005b5d93-2114-4250-b79e-1ad3033d2270,shadows-and-light-issue-6-1984,1984-06-30T00:00:00,36840739-dbda-47a9-aa65-76fe36ba0868,ombre-e-luci-n-6-1984-sfogliabile,1984-06-30T20:35:51,UPDATE
005e63bf-90bb-4efa-a721-58773355d8e8,pinocchio-on-stage-theater-that-brings-everyone-together,2015-03-19T00:00:00,385caffa-3771-4e51-b1a9-da0cca4ba1bc,pinocchio-teatro-integrato-ma-non-solo,2015-03-19T12:30:53,UPDATE
00652293-1e1c-465b-9c28-f972705727a6,as-if-it-were-the-most-natural-thing-in-the-world,2006-12-28T00:00:00,33b85138-d875-47a7-8e2a-44ba2a273a8a,come-se-fosse-la-cosa-piu-normale-del-mondo,2006-12-28T09:15:13,UPDATE
0077b6f5-7f4a-4c28-97ff-e8fac7ad342c,raging-with-blame-a-mothers-search-for-guilt,2010-03-16T00:00:00,7ff5350f-28d3-43af-a97a-62c7b48c8067,essere-mamma-sono-in-un-furioso-stato-di-accusa,2010-03-16T16:30:10,UPDATE
0098ffae-272e-4422-a1ae-e3024fdb90d4,the-father-as-citizen,2005-12-05T00:00:00,f2414768-25f2-4b52-ba14-a6141742a483,la-lotta-del-padre-cittadino,2005-12-05T11:40:09,UPDATE
00bc9d8c-2a58-4e5b-bc11-284dc8160c9d,the-endine-community-home,1996-03-03T00:00:00,dec393c7-44dd-43ad-a71e-18fd16788bf9,comunita-famiglia-di-endine,1996-03-03T10:39:41,UPDATE
