path,changed,issues,max_line_before,max_line_after,chars_before,chars_after
src/content/blog/en/extra-web/journey-of-unchanged-affection-celebrating-24-years-of-faith-and-light.md,no,monoblock_long_line,1541,1541,3377,3377
src/content/blog/en/extra-web/mother-teresa-of-calcutta-dedicated-to-children-and-to-all-of-us.md,yes,,309,309,3548,3539
src/content/blog/en/extra-web/we-are-dads-of-disabled-children-a-different-way-of-love.md,no,monoblock_long_line,566,566,2391,2391
src/content/blog/en/INS-15/esperienze-i-campi-dellestate-1977.md,yes,monoblock_long_line,502,502,12880,12881
src/content/blog/en/INS-23/come-mettere-in-quattro-righe-oltre-10-anni-di-vita.md,no,monoblock_long_line,627,627,4311,4311
src/content/blog/en/INS-30/three-lives-with-sabina-a-fathers-journey-through-darkness-hope-and-love.md,no,monoblock_long_line,739,739,5108,5108
src/content/blog/en/OEL-113/la-pecora-nera-recensione-film.md,no,monoblock_long_line,2665,2665,2694,2694
src/content/blog/en/OEL-113/precious-recensione-film.md,no,monoblock_long_line,913,913,3208,3208
src/content/blog/en/OEL-113/una-sconfinata-giovinezza-recensione-film.md,yes,monoblock_long_line,1028,1028,3005,2977
src/content/blog/en/OEL-113/uomini-di-dio-recensione-film.md,no,monoblock_long_line,1492,1492,3465,3465
src/content/blog/en/OEL-128/lourdes-a-miracle-of-encounter.md,no,monoblock_long_line,1067,1067,3320,3320
src/content/blog/en/OEL-128/mirtilli.md,no,monoblock_long_line,5918,5918,5941,5941
src/content/blog/en/OEL-133/il-libro-di-cristopher-a-wonder-story-recensione.md,yes,,433,431,579,551
src/content/blog/en/OEL-133/il-libro-di-julian-a-wonder-story-recensione.md,no,monoblock_long_line,954,954,979,979
src/content/blog/en/OEL-136/genitori-recensione-film.md,no,monoblock_long_line,1287,1287,1318,1318
src/content/blog/en/OEL-136/mio-fratello-rincorre-i-dinosauri-il-libro-e-il-film.md,yes,monoblock_long_line,818,818,3649,3648
src/content/blog/en/OEL-139/come-and-see-meeting-dei-giovani-ad-alicante.md,no,monoblock_long_line,3018,3018,3048,3048
src/content/blog/en/OEL-140/humanitarian-corridors-a-lifeline-for-refugees-including-those-with-disabilities.md,yes,monoblock_long_line,801,801,8250,8247
src/content/blog/en/OEL-141/perche-tutti-comprendano.md,no,monoblock_long_line,905,905,4231,4231
src/content/blog/en/OEL-142/segni-di-meraviglia.md,yes,monoblock_long_line,2095,2095,5397,5369
src/content/blog/en/OEL-143/fano-2018-the-best-of-our-youth.md,no,monoblock_long_line,2230,2230,9905,9905
src/content/blog/en/OEL-144/attraverso-te-docufilm-in-proiezione-gratuita-al-cineland-di-roma.md,yes,"html_generic,monoblock_long_line",626,333,2997,2430
src/content/blog/en/OEL-144/disability-pride-il-15-luglio-a-roma-per-i-diritti-delle-persone-disabili.md,yes,"html_generic,monoblock_long_line",1534,1534,6495,5928
src/content/blog/en/OEL-144/gli-oscar-premiano-la-disabilita-il-miglior-corto-e-la-storia-di-una-bambina-sorda.md,yes,"html_generic,monoblock_long_line",1571,1571,2952,2385
src/content/blog/en/OEL-144/in-your-shoes-i-progetti-di-inclusione-sociale-degli-studenti-trevigiani.md,yes,"html_generic,monoblock_long_line",1328,1328,5715,5148
src/content/blog/en/OEL-144/play-day-2018-a-venezia-accorciare-le-distanze-della-disabilita-con-lo-sport.md,yes,"html_generic,monoblock_long_line",1005,1005,5091,4524
src/content/blog/en/OEL-144/siediti-nei-nostri-panni-passeggiata-su-4-ruote-a-piazza-di-spagna.md,yes,monoblock_long_line,1775,1775,2976,2978
src/content/blog/en/OEL-144/vieni-e-vedi-a-fano-la-formazione-giovani-di-fede-e-luce.md,no,monoblock_long_line,1052,1052,1053,1053
src/content/blog/en/OEL-144/wdsd-2018-giornata-mondiale-delle-persone-con-sindrome-di-down.md,yes,"html_generic,monoblock_long_line",626,244,2350,1785
src/content/blog/en/OEL-145/a-good-and-perfect-gift.md,no,monoblock_long_line,921,921,2479,2479
src/content/blog/en/OEL-146/la-tenerezza-di-jean-in-un-film.md,yes,monoblock_long_line,1955,1955,3366,3337
src/content/blog/en/OEL-146/lautista-piu-illustre.md,no,monoblock_long_line,700,700,5014,5014
src/content/blog/en/OEL-148/atad-a-roma-ritorna-la-conferenza-sulle-tecnologie-assistive-per-la-disabilita.md,no,monoblock_long_line,652,652,3263,3263
src/content/blog/en/OEL-148/cinema-e-disabilita-3-film-secondo-alessandro-de-simone.md,no,monoblock_long_line,728,728,5478,5478
src/content/blog/en/OEL-148/cinema-e-disabilita-3-film-secondo-federica-aliano.md,no,monoblock_long_line,777,777,5633,5633
src/content/blog/en/OEL-148/cinema-e-disabilita-i-3-film-di-adriano-ercolani.md,no,monoblock_long_line,511,511,5197,5197
src/content/blog/en/OEL-148/cinema-e-disabilita-i-3-film-di-andrea-guglielmino.md,no,monoblock_long_line,1443,1443,8091,8091
src/content/blog/en/OEL-148/cinema-e-disabilita-i-3-film-di-boris-sollazzo.md,yes,monoblock_long_line,655,655,5958,5958
src/content/blog/en/OEL-148/cinema-e-disabilita-i-3-film-di-edoardo-zaccagnini.md,yes,monoblock_long_line,800,800,5744,5744
src/content/blog/en/OEL-148/cinema-e-disabilita-i-3-film-di-emanuele-rauco.md,no,,384,384,4443,4443
src/content/blog/en/OEL-148/cinema-e-disabilita-i-3-film-di-emilio-ranzato.md,yes,monoblock_long_line,613,613,5499,5499
src/content/blog/en/OEL-148/cinema-e-disabilita-i-3-film-di-gabriele-niola.md,no,monoblock_long_line,516,516,5228,5228
src/content/blog/en/OEL-148/cinema-e-disabilita-i-3-film-di-giorgia-sdei.md,yes,monoblock_long_line,771,771,5442,5442
src/content/blog/en/OEL-148/cinema-e-disabilita-i-3-film-di-valerio-sammarco.md,yes,,468,468,4704,4704
src/content/blog/en/OEL-148/disabuse-i-risultati-del-progetto-su-disabilita-e-bullismo.md,no,monoblock_long_line,744,744,2230,2230
src/content/blog/en/OEL-148/il-disability-pride-di-stefan-aspirante-artista-amante-di-fumetti-ed-ecologia.md,no,monoblock_long_line,715,715,1187,1187
src/content/blog/en/OEL-148/the-square-un-ristorante-per-sperimentare-lautonomia.md,no,monoblock_long_line,700,700,3730,3730
src/content/blog/en/OEL-148/who-is-my-neighbor.md,no,monoblock_long_line,1286,1286,3327,3327
src/content/blog/en/OEL-150/la-sfida-di-rileggere-le-scene-del-cinema.md,no,monoblock_long_line,678,678,2507,2507
src/content/blog/en/OEL-150/years-and-years.md,no,monoblock_long_line,1045,1045,4320,4320
src/content/blog/en/OEL-152/carmela-e-quattordici-murali-per-cambiare-il-mondo.md,no,monoblock_long_line,616,616,2012,2012
src/content/blog/en/OEL-152/cinema-e-disabilita-i-3-film-di-armando-damato.md,yes,monoblock_long_line,933,933,6947,6947
src/content/blog/en/OEL-152/cinema-e-disabilita-i-3-film-di-claudio-cinus.md,yes,monoblock_long_line,1557,1557,7576,7576
src/content/blog/en/OEL-152/cinema-e-disabilita-i-3-film-di-enrica-riera.md,no,monoblock_long_line,623,623,5463,5463
src/content/blog/en/OEL-152/guarda-ce-sam.md,no,monoblock_long_line,750,750,4647,4647
src/content/blog/en/OEL-152/intervista-ad-andrea-romeo-su-cinema-e-disabilita.md,no,monoblock_long_line,2235,2235,23258,23258
src/content/blog/en/OEL-152/luomo-che-mise-in-vendita-la-sua-pelle.md,no,monoblock_long_line,1799,1799,2375,2375
src/content/blog/en/OEL-152/museum-for-all.md,no,monoblock_long_line,1185,1185,3560,3560
src/content/blog/en/OEL-152/quel-che-la-convenzione-dice-e-non-dice.md,no,monoblock_long_line,1168,1168,8811,8811
src/content/blog/en/OEL-152/viaggio-italia-around-the-world.md,yes,monoblock_long_line,2308,2307,3115,3114
src/content/blog/en/OEL-154/inneschiamo-la-valanga.md,no,monoblock_long_line,897,897,3936,3936
src/content/blog/en/OEL-156/beyond-labels-what-lies-beneath-adjectives.md,no,monoblock_long_line,910,910,2918,2918
src/content/blog/en/OEL-156/cinema-e-disabilita-al-torino-film-festival-e-al-babel-film-festival-di-cagliari.md,yes,monoblock_long_line,2704,2704,6406,6373
src/content/blog/en/OEL-156/from-that-closet.md,no,monoblock_long_line,962,962,3983,3983
src/content/blog/en/OEL-156/perche-di-katherine-e-nerissa-non-ci-sono-tracce.md,no,monoblock_long_line,860,860,4267,4267
src/content/blog/en/OEL-156/samira-quando-il-cinema-influenza-la-vita-vera.md,no,monoblock_long_line,1407,1407,1800,1800
src/content/blog/en/OEL-156/the-specials-fuori-dal-comune-la-recensione-di-cinus.md,no,monoblock_long_line,1078,1078,2086,2086
src/content/blog/en/OEL-156/the-specials-fuori-dal-comune-la-recensione-di-tersigni.md,no,monoblock_long_line,1277,1277,5836,5836
src/content/blog/en/OEL-156/una-foto-da-hong-kong.md,no,monoblock_long_line,1920,1920,2386,2386
src/content/blog/en/OEL-158/siamo-una-rivoluzione-recensione.md,yes,monoblock_long_line,1274,1274,3783,3781
src/content/blog/en/OEL-160/bari-scintillante.md,no,monoblock_long_line,955,955,4062,4062
src/content/blog/en/OEL-160/fanny-who-sees-a-future-for-herself.md,yes,monoblock_long_line,518,518,2377,2378
src/content/blog/en/OEL-160/love-life-recensione.md,no,monoblock_long_line,770,770,2969,2969
src/content/blog/en/OEL-160/transforming-lives-a-journey-of-hope-and-healing-in-the-heart-of-the-congo.md,no,monoblock_long_line,772,772,6992,6992
src/content/blog/en/OEL-164/bologna-to-rome-pedaling-possibilities-in-the-rainbow-communitys-tandem-journey.md,no,monoblock_long_line,1099,1099,3917,3917
src/content/blog/en/OEL-164/dal-41-torino-film-festival.md,no,monoblock_long_line,2055,2055,3431,3431
src/content/blog/en/OEL-164/di-serie-promettenti-e-film-non-riusciti-alla-festa-del-cinema-di-roma.md,no,monoblock_long_line,1174,1174,4242,4242
src/content/blog/en/OEL-164/i-met-the-scooppiati-diversamente-band-and-interviewed-them.md,yes,monoblock_long_line,606,606,3348,3347
src/content/blog/en/OEL-164/il-valore-dellintegrazione-in-the-blind-side.md,no,monoblock_long_line,620,620,2043,2043
src/content/blog/en/OEL-164/partire-o-restare-la-migrazione-nei-film-di-venezia-80.md,no,monoblock_long_line,1999,1999,7109,7109
